Date,Day,DTE,EntryTime,Future,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Flag,PE.SL.Time,PE.PNL
2024-01-01,Monday,3,09:20:00,48448.15,48200CE,276.1,528.55,207.7,227.9,True,2024-01-01 09:53:00,-57.98,48200PE,261.8,263.5,92.65,239.25,False,,19.93
2024-01-02,Tuesday,2,09:20:00,48388.1,48200CE,192.55,229.35,21.95,24.3,False,,166.32,48200PE,232.85,653.3,193.25,607.85,True,2024-01-02 09:57:00,-48.9
2024-01-03,Wednesday,1,09:20:00,47836.05,47500CE,153.15,309.35,84.3,204.7,True,2024-01-03 10:32:00,-32.16,47500PE,118.55,148.9,0.05,0.1,True,2024-01-03 09:22:00,-24.9
2024-01-04,Thursday,5,09:20:00,48080.0,47900CE,333.45,589.95,319.7,580.7,True,2024-01-04 10:04:00,-70.02,47900PE,360.55,383.5,150.8,156.25,False,,200.69
2024-01-05,Friday,4,09:20:00,48592.0,48400CE,291.7,297.65,76.7,135.4,False,,153.38,48400PE,311.4,687.5,285.9,421.65,True,2024-01-05 09:49:00,-65.39
2024-01-08,Monday,3,09:20:00,48275.3,48100CE,228.85,280.0,40.65,46.2,True,2024-01-08 09:24:00,-48.06,48100PE,256.75,772.1,213.2,698.6,True,2024-01-08 09:36:00,-53.92
2024-01-09,Tuesday,2,09:20:00,47945.0,47800CE,178.65,268.0,14.35,16.8,True,2024-01-09 10:22:00,-37.52,47800PE,220.1,677.4,111.0,594.4,True,2024-01-09 09:37:00,-46.22
2024-01-10,Wednesday,1,09:20:00,47325.0,47100CE,126.45,320.0,86.75,260.0,True,2024-01-10 09:31:00,-26.55,47100PE,127.3,178.0,0.05,0.05,True,2024-01-10 09:27:00,-26.73
2024-01-11,Thursday,5,09:20:00,47744.95,47700CE,331.05,360.0,173.5,247.4,False,,80.34,47700PE,376.0,623.0,353.0,450.05,True,2024-01-11 09:42:00,-78.96
2024-01-12,Friday,4,09:20:00,47638.0,47600CE,298.0,519.7,273.0,397.6,True,2024-01-12 10:04:00,-62.58,47600PE,342.9,378.5,178.55,207.85,False,,131.62
2024-01-15,Monday,3,09:20:00,48081.6,48000CE,259.9,400.0,193.9,376.85,True,2024-01-15 09:28:00,-54.58,48000PE,276.6,376.65,147.0,149.35,True,2024-01-15 09:59:00,-58.09
2024-01-16,Tuesday,2,09:20:00,48256.05,48100CE,262.95,372.6,148.85,196.9,True,2024-01-16 09:46:00,-55.22,48100PE,218.6,267.0,119.65,190.1,True,2024-01-16 13:36:00,-45.91
2024-01-17,Wednesday,1,09:20:00,47375.0,47200CE,206.35,218.4,0.15,0.15,False,,204.14,47200PE,192.4,1210.95,169.4,1139.0,True,2024-01-17 09:24:00,-40.4
2024-01-18,Thursday,6,09:20:00,45850.0,45800CE,624.5,869.1,456.35,568.5,True,2024-01-18 10:10:00,-131.14,45800PE,580.05,635.35,307.75,458.0,False,,116.25
2024-01-19,Friday,5,09:20:00,46193.35,46200CE,460.8,522.0,240.3,293.8,False,,162.39,46200PE,468.75,862.75,387.0,693.25,True,2024-01-19 11:08:00,-98.44
2024-01-20,Saturday,4,09:20:00,46005.1,46000CE,417.0,491.95,297.4,472.95,False,,-60.12,46000PE,416.3,550.0,268.25,297.0,True,2024-01-20 09:41:00,-87.42
2024-01-23,Tuesday,3,09:20:00,46476.5,46500CE,283.6,287.8,25.6,36.7,False,,244.06,46500PE,304.6,1696.0,297.75,1613.7,True,2024-01-23 09:36:00,-63.97
2024-01-24,Wednesday,2,09:20:00,44734.2,44700CE,345.0,920.85,228.65,517.3,True,2024-01-24 09:22:00,-72.45,44700PE,320.05,387.6,55.8,74.6,True,2024-01-24 12:28:00,-67.21
2024-01-25,Thursday,1,09:20:00,45054.55,45100CE,173.9,207.2,0.25,0.3,False,,171.86,45100PE,221.0,709.05,189.25,236.7,True,2024-01-25 09:23:00,-46.41
2024-01-29,Monday,3,09:20:00,45640.0,45400CE,381.4,663.55,242.0,433.3,True,2024-01-29 09:29:00,-80.09,45400PE,372.5,491.0,231.9,246.6,True,2024-01-29 15:00:00,-78.22
2024-01-30,Tuesday,2,09:20:00,45834.3,45600CE,327.25,327.35,81.05,129.1,False,,194.88,45600PE,356.95,588.0,286.05,381.6,True,2024-01-30 09:25:00,-74.96
2024-01-31,Wednesday,1,09:20:00,45464.9,45100CE,202.05,1118.95,173.0,899.25,True,2024-01-31 09:30:00,-42.43,45100PE,183.9,220.0,0.05,0.05,False,,182.01
