Date,Day,DTE,EntryTime,Future,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Flag,PE.SL.Time,PE.PNL
2024-01-01,Monday,2,09:20:00,21562.7,21450CE,66.9,175.45,35.0,37.1,True,2024-01-01 09:53:00,-14.05,21450PE,86.0,88.85,13.1,69.05,False,,16.09
2024-01-02,Tuesday,1,09:20:00,21557.5,21400CE,45.4,96.4,0.05,0.05,True,2024-01-02 09:21:00,-9.53,21400PE,31.2,137.4,15.0,53.65,True,2024-01-02 09:55:00,-6.55
2024-01-03,Wednesday,5,09:20:00,21451.95,21350CE,151.55,157.45,79.15,95.7,False,,54.33,21350PE,161.3,207.35,135.0,176.3,True,2024-01-03 09:45:00,-33.87
2024-01-04,Thursday,4,09:20:00,21485.45,21400CE,110.15,196.0,99.15,191.3,True,2024-01-04 09:43:00,-23.13,21400PE,133.0,147.35,47.4,48.2,False,,83.47
2024-01-05,Friday,3,09:20:00,21695.0,21600CE,87.3,86.4,18.1,45.7,False,,40.73,21600PE,103.35,243.45,96.6,126.75,True,2024-01-05 09:49:00,-21.7
2024-01-08,Monday,2,09:20:00,21590.25,21500CE,69.45,99.0,4.45,4.6,True,2024-01-08 09:24:00,-14.58,21500PE,69.55,240.7,41.75,222.0,True,2024-01-08 09:37:00,-14.61
2024-01-09,Tuesday,1,09:20:00,21484.0,21400CE,35.9,100.0,0.05,0.1,True,2024-01-09 10:19:00,-7.54,21400PE,37.25,253.15,5.45,203.25,True,2024-01-09 09:30:00,-7.82
2024-01-10,Wednesday,5,09:20:00,21230.0,21150CE,161.35,221.3,143.55,207.35,True,2024-01-10 09:35:00,-33.88,21150PE,148.65,169.4,82.35,82.35,False,,64.81
2024-01-11,Thursday,4,09:20:00,21438.45,21350CE,139.55,150.7,60.0,89.55,False,,48.6,21350PE,120.5,234.8,113.45,162.05,True,2024-01-11 09:55:00,-25.3
2024-01-12,Friday,3,09:20:00,21360.0,21300CE,116.95,173.7,84.9,116.65,True,2024-01-12 10:41:00,-24.56,21300PE,104.7,144.0,57.35,73.25,True,2024-01-12 09:31:00,-21.99
2024-01-15,Monday,2,09:20:00,21456.0,21400CE,81.35,135.0,58.65,114.0,True,2024-01-15 09:26:00,-17.08,21400PE,93.0,125.7,26.55,26.75,True,2024-01-15 09:58:00,-19.53
2024-01-16,Tuesday,1,09:20:00,21510.0,21450CE,44.9,80.85,0.1,0.15,True,2024-01-16 09:46:00,-9.43,21450PE,46.45,54.2,1.5,1.9,False,,44.09
2024-01-17,Wednesday,5,09:20:00,21066.95,21050CE,187.55,190.95,55.6,63.0,False,,122.67,21050PE,191.2,599.65,185.3,570.4,True,2024-01-17 09:23:00,-40.15
2024-01-18,Thursday,4,09:20:00,20396.35,20350CE,228.8,303.15,151.0,183.6,True,2024-01-18 12:10:00,-48.05,20350PE,243.0,267.55,96.85,160.15,False,,80.42
2024-01-19,Friday,3,09:20:00,20594.75,20550CE,146.5,189.6,80.75,98.2,True,2024-01-19 09:40:00,-30.76,20550PE,155.95,255.25,111.8,196.75,True,2024-01-19 11:08:00,-32.75
2024-01-20,Saturday,2,09:20:00,20605.3,20550CE,110.7,136.0,56.65,99.3,True,2024-01-20 13:26:00,-23.25,20550PE,105.05,184.8,76.75,92.4,True,2024-01-20 09:40:00,-22.06
2024-01-23,Tuesday,1,09:20:00,20751.1,20700CE,49.55,50.15,0.05,0.1,False,,48.95,20700PE,41.1,627.3,39.75,562.15,True,2024-01-23 09:25:00,-8.63
2024-01-24,Wednesday,4,09:20:00,20040.7,20050CE,210.0,398.7,192.85,308.8,True,2024-01-24 09:24:00,-44.1,20050PE,222.65,229.95,89.05,102.8,False,,117.62
2024-01-25,Thursday,3,09:20:00,20220.05,20200CE,183.0,193.95,73.65,121.1,False,,60.07,20200PE,163.25,305.4,130.65,133.45,True,2024-01-25 09:25:00,-34.28
2024-01-29,Monday,2,09:20:00,20307.75,20300CE,122.15,245.5,104.05,190.2,True,2024-01-29 09:34:00,-25.65,20300PE,113.35,119.9,23.05,23.1,False,,89.12
2024-01-30,Tuesday,1,09:20:00,20399.8,20400CE,88.8,87.05,0.05,0.05,False,,87.86,20400PE,90.0,153.3,74.4,113.35,True,2024-01-30 09:21:00,-18.9
2024-01-31,Wednesday,5,09:20:00,20313.0,20200CE,269.15,510.8,258.8,449.4,True,2024-01-31 09:43:00,-56.52,20200PE,248.2,261.3,103.35,129.65,False,,116.07
2024-02-01,Thursday,4,09:20:00,20574.0,20500CE,233.7,244.0,138.3,165.0,False,,66.36,20500PE,227.3,298.2,116.35,121.95,True,2024-02-01 09:31:00,-47.73
2024-02-02,Friday,3,09:20:00,20799.4,20700CE,139.5,208.85,29.2,31.55,True,2024-02-02 11:31:00,-29.3,20700PE,120.25,309.6,86.5,295.5,True,2024-02-02 10:22:00,-25.25
2024-02-05,Monday,2,09:20:00,20423.3,20350CE,109.3,177.5,43.65,51.55,True,2024-02-05 09:25:00,-22.95,20350PE,132.3,160.0,63.55,131.4,True,2024-02-05 14:56:00,-27.78
2024-02-06,Tuesday,1,09:20:00,20341.5,20250CE,59.2,150.0,46.2,114.95,True,2024-02-06 09:25:00,-12.43,20250PE,73.1,73.7,0.05,0.05,False,,72.32
2024-02-07,Wednesday,5,09:20:00,20601.0,20550CE,167.1,196.4,103.35,128.1,False,,37.33,20550PE,190.25,266.45,173.3,196.4,True,2024-02-07 11:31:00,-39.95
2024-02-08,Thursday,4,09:20:00,20599.0,20550CE,144.25,166.0,20.25,23.2,False,,119.61,20550PE,159.6,533.5,140.6,466.2,True,2024-02-08 10:15:00,-33.52
2024-02-09,Friday,3,09:20:00,20092.55,20000CE,153.05,281.4,151.95,264.6,True,2024-02-09 09:23:00,-32.14,20000PE,128.55,129.3,27.75,28.6,False,,98.66
2024-02-12,Monday,2,09:20:00,20277.95,20200CE,96.2,108.95,6.75,9.1,False,,86.14,20200PE,99.3,375.0,90.1,281.6,True,2024-02-12 09:45:00,-20.85
2024-02-13,Tuesday,1,09:20:00,20036.7,19950CE,68.15,329.35,56.15,242.05,True,2024-02-13 09:24:00,-14.31,19950PE,48.45,67.6,0.05,0.05,True,2024-02-13 09:22:00,-10.17
2024-02-14,Wednesday,5,09:20:00,20069.6,20050CE,184.35,439.2,160.75,387.4,True,2024-02-14 09:53:00,-38.71,20050PE,197.65,240.75,65.0,81.35,True,2024-02-14 09:30:00,-41.51
2024-02-15,Thursday,4,09:20:00,20412.3,20400CE,164.7,191.95,96.8,180.45,False,,-17.4,20400PE,188.0,297.55,119.55,120.85,True,2024-02-15 09:34:00,-39.48
2024-02-16,Friday,3,09:20:00,20506.45,20500CE,133.55,166.6,97.15,99.75,True,2024-02-16 13:47:00,-28.05,20500PE,155.45,198.55,101.3,134.7,True,2024-02-16 09:46:00,-32.64
2024-02-19,Monday,2,09:20:00,20556.0,20500CE,120.6,166.0,80.7,100.85,True,2024-02-19 11:01:00,-25.33,20500PE,99.25,117.4,41.5,53.6,False,,44.66
2024-02-20,Tuesday,1,09:20:00,20524.15,20500CE,48.4,305.0,46.35,302.0,True,2024-02-20 09:23:00,-10.16,20500PE,63.95,66.45,0.05,0.05,False,,63.26
2024-02-21,Wednesday,5,09:20:00,20844.2,20850CE,187.5,212.0,92.6,93.1,False,,92.52,20850PE,189.2,288.6,163.5,287.0,True,2024-02-21 10:19:00,-39.73
2024-02-22,Thursday,4,09:20:00,20655.0,20650CE,172.7,183.7,86.6,171.2,False,,-0.23,20650PE,161.35,276.05,100.15,104.35,True,2024-02-22 09:34:00,-33.88
2024-02-23,Friday,3,09:20:00,20730.75,20750CE,123.75,173.45,75.25,87.05,True,2024-02-23 09:41:00,-25.99,20750PE,143.2,162.15,89.4,141.8,False,,-0.03
2024-02-26,Monday,2,09:20:00,20646.9,20650CE,105.2,155.0,55.85,59.3,True,2024-02-26 09:23:00,-22.09,20650PE,107.2,131.8,50.25,93.55,True,2024-02-26 09:59:00,-22.51
2024-02-27,Tuesday,1,09:20:00,20583.55,20600CE,63.95,107.8,0.1,0.1,True,2024-02-27 09:21:00,-13.43,20600PE,74.95,140.0,25.8,46.85,True,2024-02-27 09:30:00,-15.74
2024-02-28,Wednesday,5,09:20:00,20665.0,20600CE,178.1,211.5,93.25,99.05,False,,77.27,20600PE,191.75,352.65,148.2,348.6,True,2024-02-28 10:57:00,-40.27
2024-02-29,Thursday,4,09:20:00,20393.15,20300CE,194.45,271.8,169.9,260.8,True,2024-02-29 09:54:00,-40.83,20300PE,181.1,199.8,65.2,67.4,False,,111.89
2024-03-01,Friday,3,09:20:00,20665.6,20600CE,128.5,317.55,116.15,295.15,True,2024-03-01 11:11:00,-26.98,20600PE,144.35,154.05,36.0,42.05,False,,100.86
2024-03-04,Monday,2,09:20:00,21004.05,20900CE,102.95,103.8,40.7,80.0,False,,21.92,20900PE,101.35,148.15,46.1,55.75,True,2024-03-04 09:29:00,-21.28
2024-03-05,Tuesday,1,09:20:00,20951.9,20850CE,59.6,103.2,1.8,5.25,True,2024-03-05 12:51:00,-12.52,20850PE,58.35,84.0,0.05,0.05,True,2024-03-05 10:21:00,-12.25
2024-03-06,Wednesday,4,09:20:00,20969.45,20900CE,160.65,288.7,142.05,190.0,True,2024-03-06 09:42:00,-33.74,20900PE,144.15,158.1,74.5,102.15,False,,40.56
2024-03-07,Thursday,3,09:20:00,21095.55,21050CE,127.55,133.0,64.9,75.05,False,,51.22,21050PE,138.2,170.7,100.8,131.6,True,2024-03-07 10:45:00,-29.02
2024-03-11,Monday,2,09:20:00,21044.95,21000CE,84.5,83.45,15.35,16.4,False,,67.26,21000PE,95.9,187.2,95.45,172.45,True,2024-03-11 09:37:00,-20.14
2024-03-12,Tuesday,1,09:20:00,20889.35,20850CE,46.15,249.85,14.6,48.2,True,2024-03-12 09:33:00,-9.69,20850PE,56.8,264.0,0.05,0.05,True,2024-03-12 09:21:00,-11.93
2024-03-13,Wednesday,5,09:20:00,20986.95,20950CE,167.45,173.75,77.8,78.9,False,,86.88,20950PE,164.5,316.95,138.45,290.45,True,2024-03-13 11:05:00,-34.55
