Date,Day,DTE,EntryTime,Future,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Flag,PE.SL.Time,PE.PNL
2024-01-01,Monday,1,09:20:00,10435.0,10400CE,22.15,34.35,15.4,16.55,True,2024-01-01 09:45:00,-4.65,10400PE,23.75,24.15,0.05,0.05,False,,23.46
2024-01-02,Tuesday,5,09:20:00,10469.3,10450CE,95.2,93.95,31.55,54.65,False,,39.6,10450PE,100.0,249.2,94.0,142.4,True,2024-01-02 09:56:00,-21.0
2024-01-03,Wednesday,4,09:20:00,10328.1,10300CE,98.0,177.75,88.6,123.25,True,2024-01-03 11:22:00,-20.58,10300PE,94.45,110.0,33.75,46.3,False,,47.21
2024-01-04,Thursday,3,09:20:00,10469.0,10450CE,74.7,150.5,59.3,150.0,True,2024-01-04 10:23:00,-15.69,10450PE,64.8,73.3,13.9,15.3,False,,48.85
2024-01-05,Friday,2,09:20:00,10614.8,10600CE,47.35,48.25,7.8,11.75,False,,35.13,10600PE,42.8,128.5,35.2,52.7,True,2024-01-05 09:25:00,-8.99
2024-01-08,Monday,1,09:20:00,10564.05,10550CE,21.55,29.0,0.05,0.1,True,2024-01-08 09:23:00,-4.53,10550PE,13.85,108.5,10.35,107.35,True,2024-01-08 09:29:00,-2.91
2024-01-09,Tuesday,5,09:20:00,10549.95,10550CE,104.0,111.4,32.85,37.2,False,,65.76,10550PE,93.95,188.2,85.15,177.05,True,2024-01-09 09:36:00,-19.73
2024-01-10,Wednesday,4,09:20:00,10398.0,10400CE,102.05,127.05,47.5,104.45,True,2024-01-10 15:03:00,-21.43,10400PE,82.45,158.55,50.0,53.95,True,2024-01-10 09:22:00,-17.31
2024-01-11,Thursday,3,09:20:00,10502.65,10500CE,78.2,83.7,35.25,49.0,False,,28.42,10500PE,69.0,115.95,61.4,77.45,True,2024-01-11 09:25:00,-14.49
2024-01-12,Friday,2,09:20:00,10471.0,10500CE,43.55,80.4,36.75,66.7,True,2024-01-12 09:31:00,-9.15,10500PE,62.35,69.6,14.55,14.7,False,,47.03
