Date,Day,DTE,EntryTime,Future,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Flag,PE.SL.Time,PE.PNL
2024-01-01,Monday,4,09:20:00,21817.15,21700CE,130.65,271.25,114.55,117.4,True,2024-01-01 09:54:00,-27.44,21700PE,111.5,114.15,36.15,84.95,False,,25.44
2024-01-02,Tuesday,3,09:20:00,21850.05,21750CE,98.25,109.2,38.1,41.4,False,,55.87,21750PE,98.15,212.3,84.65,142.55,True,2024-01-02 09:56:00,-20.61
2024-01-03,Wednesday,2,09:20:00,21708.15,21600CE,88.85,95.45,17.65,21.3,False,,66.66,21600PE,72.6,136.65,57.5,109.55,True,2024-01-03 09:37:00,-15.25
2024-01-04,Thursday,1,09:20:00,21682.3,21600CE,37.15,68.05,26.75,57.35,True,2024-01-04 09:37:00,-7.8,21600PE,41.5,42.25,0.05,0.05,False,,41.04
2024-01-05,Friday,5,09:20:00,21813.6,21750CE,115.4,121.15,63.3,93.4,False,,20.85,21750PE,121.15,191.3,102.95,118.05,True,2024-01-05 10:51:00,-25.44
2024-01-08,Monday,4,09:20:00,21780.05,21700CE,114.65,135.0,35.8,36.2,False,,77.3,21700PE,90.3,228.0,78.55,218.4,True,2024-01-08 09:36:00,-18.96
2024-01-09,Tuesday,3,09:20:00,21717.05,21650CE,96.0,144.35,33.85,44.0,True,2024-01-09 10:21:00,-20.16,21650PE,76.95,154.6,48.9,130.95,True,2024-01-09 09:41:00,-16.16
2024-01-10,Wednesday,2,09:20:00,21603.1,21550CE,73.6,156.4,38.8,132.25,True,2024-01-10 09:45:00,-15.46,21550PE,84.95,159.85,16.8,17.7,True,2024-01-10 09:27:00,-17.84
2024-01-11,Thursday,1,09:20:00,21757.0,21700CE,44.05,46.1,0.05,0.05,False,,43.56,21700PE,35.9,115.75,30.55,54.0,True,2024-01-11 09:32:00,-7.54
2024-01-12,Friday,5,09:20:00,21770.0,21750CE,128.0,293.35,121.1,258.05,True,2024-01-12 10:04:00,-26.88,21750PE,126.85,131.05,59.45,60.3,False,,65.28
2024-01-15,Monday,4,09:20:00,22082.05,22050CE,133.25,161.6,91.9,152.2,True,2024-01-15 15:00:00,-27.98,22050PE,118.45,160.85,77.2,79.1,True,2024-01-15 09:51:00,-24.87
2024-01-16,Tuesday,3,09:20:00,22080.0,22050CE,113.1,145.0,59.6,77.5,True,2024-01-16 09:53:00,-23.75,22050PE,98.65,147.4,68.65,98.5,True,2024-01-16 13:32:00,-20.72
2024-01-17,Wednesday,2,09:20:00,21835.5,21850CE,94.15,95.3,7.7,8.95,False,,84.26,21850PE,103.5,313.75,88.9,289.4,True,2024-01-17 09:25:00,-21.73
2024-01-18,Thursday,1,09:20:00,21479.0,21450CE,55.6,84.5,2.6,12.3,True,2024-01-18 12:06:00,-11.68,21450PE,59.6,169.9,0.15,0.6,True,2024-01-18 09:26:00,-12.52
2024-01-19,Friday,5,09:20:00,21651.7,21650CE,158.9,183.4,123.65,160.1,False,,-2.79,21650PE,152.75,196.45,117.3,130.95,True,2024-01-19 11:08:00,-32.08
2024-01-20,Saturday,4,09:20:00,21741.0,21750CE,128.15,128.4,62.35,77.6,False,,49.27,21750PE,132.4,246.5,132.0,206.5,True,2024-01-20 09:30:00,-27.8
2024-01-23,Tuesday,3,09:20:00,21773.5,21800CE,92.6,93.55,7.7,8.35,False,,83.32,21800PE,114.95,656.05,111.7,594.5,True,2024-01-23 09:57:00,-24.14
2024-01-24,Wednesday,2,09:20:00,21195.85,21200CE,114.1,313.4,113.45,301.3,True,2024-01-24 09:21:00,-23.96,21200PE,118.1,120.8,9.45,11.5,True,2024-01-24 09:20:00,-24.8
2024-01-25,Thursday,1,09:20:00,21420.95,21400CE,79.2,94.2,0.2,0.2,False,,78.21,21400PE,56.2,171.75,43.9,53.9,True,2024-01-25 09:23:00,-11.8
2024-01-29,Monday,4,09:20:00,21648.55,21600CE,169.6,299.0,169.6,294.0,True,2024-01-29 09:25:00,-35.62,21600PE,189.3,188.8,91.85,94.45,False,,92.96
2024-01-30,Tuesday,3,09:20:00,21889.25,21800CE,183.95,191.5,47.85,52.05,False,,130.06,21800PE,169.35,330.0,160.3,294.3,True,2024-01-30 09:26:00,-35.56
2024-01-31,Wednesday,2,09:20:00,21604.0,21500CE,160.45,304.0,143.5,269.4,True,2024-01-31 09:34:00,-33.69,21500PE,143.5,159.7,37.1,47.7,False,,94.36
2024-02-01,Thursday,1,09:20:00,21805.4,21700CE,130.25,177.0,0.1,0.1,True,2024-02-01 11:02:00,-27.35,21700PE,110.8,133.9,1.55,2.0,True,2024-02-01 11:17:00,-23.27
2024-02-02,Friday,5,09:20:00,21993.5,21950CE,163.35,299.45,113.5,114.6,True,2024-02-02 11:04:00,-34.3,21950PE,169.9,215.6,90.1,192.9,True,2024-02-02 13:25:00,-35.68
2024-02-05,Monday,4,09:20:00,21920.85,21850CE,158.15,229.8,81.7,92.1,True,2024-02-05 09:26:00,-33.21,21850PE,152.3,244.75,95.1,204.95,True,2024-02-05 14:38:00,-31.98
2024-02-06,Tuesday,3,09:20:00,21803.0,21750CE,131.75,262.8,127.15,250.0,True,2024-02-06 09:28:00,-27.67,21750PE,150.05,157.5,50.55,51.9,False,,96.65
2024-02-07,Wednesday,2,09:20:00,22077.0,22050CE,97.45,104.0,24.95,39.85,False,,56.63,22050PE,116.6,242.95,107.75,128.25,True,2024-02-07 09:44:00,-24.49
2024-02-08,Thursday,1,09:20:00,22082.55,22000CE,68.5,71.85,0.05,0.05,False,,67.76,22000PE,51.15,345.6,49.35,282.0,True,2024-02-08 09:34:00,-10.74
2024-02-09,Friday,5,09:20:00,21773.95,21750CE,165.4,206.0,128.75,170.9,True,2024-02-09 09:28:00,-34.73,21750PE,184.85,247.35,123.85,133.45,True,2024-02-09 10:01:00,-38.82
2024-02-12,Monday,4,09:20:00,21871.0,21800CE,151.75,158.6,61.95,71.9,False,,78.33,21800PE,137.5,281.55,130.8,233.4,True,2024-02-12 09:40:00,-28.88
2024-02-13,Tuesday,3,09:20:00,21719.05,21650CE,133.1,193.4,96.9,167.75,True,2024-02-13 10:10:00,-27.95,21650PE,135.4,195.85,62.05,73.0,True,2024-02-13 09:23:00,-28.43
2024-02-14,Wednesday,2,09:20:00,21658.3,21550CE,115.0,381.3,90.05,338.8,True,2024-02-14 10:57:00,-24.15,21550PE,92.1,117.4,9.1,9.85,True,2024-02-14 09:27:00,-19.34
2024-02-15,Thursday,1,09:20:00,21937.95,21900CE,60.2,77.75,4.05,11.2,True,2024-02-15 09:24:00,-12.64,21900PE,65.35,127.6,0.05,0.05,True,2024-02-15 09:22:00,-13.72
2024-02-16,Friday,5,09:20:00,22060.05,22050CE,147.0,185.55,136.35,146.3,True,2024-02-16 10:14:00,-30.87,22050PE,167.6,182.8,130.0,158.35,False,,7.57
2024-02-19,Monday,4,09:20:00,22130.3,22100CE,134.9,207.6,97.55,140.05,True,2024-02-19 11:14:00,-28.33,22100PE,153.0,203.0,89.85,126.0,True,2024-02-19 09:45:00,-32.13
2024-02-20,Tuesday,3,09:20:00,22108.25,22050CE,129.45,213.9,115.2,206.0,True,2024-02-20 09:42:00,-27.18,22050PE,126.95,141.9,55.6,57.45,False,,68.23
2024-02-21,Wednesday,2,09:20:00,22237.0,22200CE,105.35,118.0,14.65,17.45,False,,86.85,22200PE,97.95,247.0,58.0,223.1,True,2024-02-21 10:28:00,-20.57
2024-02-22,Thursday,1,09:20:00,22087.55,22050CE,55.55,179.7,3.75,170.0,True,2024-02-22 09:42:00,-11.67,22050PE,72.65,216.7,0.05,0.05,True,2024-02-22 09:28:00,-15.26
2024-02-23,Friday,5,09:20:00,22275.95,22300CE,150.25,169.0,103.1,104.85,False,,43.9,22300PE,175.1,196.0,140.3,189.6,False,,-16.25
2024-02-26,Monday,4,09:20:00,22201.25,22200CE,142.1,158.0,92.8,102.75,False,,37.93,22200PE,142.1,206.7,127.8,162.95,True,2024-02-26 09:57:00,-29.84
2024-02-27,Tuesday,3,09:20:00,22109.25,22100CE,132.2,189.95,120.55,157.85,True,2024-02-27 09:40:00,-27.76,22100PE,125.0,128.0,58.1,69.5,False,,54.25
2024-02-28,Wednesday,2,09:20:00,22202.0,22200CE,99.25,104.6,13.25,13.6,False,,84.66,22200PE,97.9,326.6,79.2,311.55,True,2024-02-28 10:50:00,-20.56
2024-02-29,Thursday,1,09:20:00,21915.0,21900CE,85.35,158.4,18.3,84.05,True,2024-02-29 09:26:00,-17.92,21900PE,72.05,119.0,0.05,0.05,True,2024-02-29 09:22:00,-15.13
2024-03-01,Friday,5,09:20:00,22239.75,22150CE,167.7,306.85,165.3,285.7,True,2024-03-01 10:00:00,-35.22,22150PE,158.75,161.0,79.1,84.6,False,,72.56
2024-03-04,Monday,4,09:20:00,22529.0,22450CE,130.95,129.85,85.45,96.15,False,,33.49,22450PE,144.85,178.1,130.25,147.85,True,2024-03-04 09:39:00,-30.42
2024-03-05,Tuesday,3,09:20:00,22460.0,22350CE,122.55,144.9,60.35,94.75,False,,26.57,22350PE,111.7,165.35,73.6,91.4,True,2024-03-05 10:16:00,-23.46
2024-03-06,Wednesday,2,09:20:00,22410.0,22300CE,96.0,243.8,53.75,222.65,True,2024-03-06 09:43:00,-20.16,22300PE,82.85,129.9,15.05,15.7,True,2024-03-06 09:59:00,-17.4
2024-03-07,Thursday,1,09:20:00,22574.4,22500CE,49.6,58.15,0.05,0.05,False,,49.05,22500PE,62.25,79.25,2.2,6.6,True,2024-03-07 09:41:00,-13.07
2024-03-11,Monday,4,09:20:00,22571.55,22500CE,130.5,129.85,51.3,55.25,False,,73.94,22500PE,127.65,223.6,123.35,202.65,True,2024-03-11 10:14:00,-26.81
2024-03-12,Tuesday,3,09:20:00,22442.9,22400CE,99.9,150.0,73.65,87.45,True,2024-03-12 09:35:00,-20.98,22400PE,121.75,155.65,69.65,108.65,True,2024-03-12 10:47:00,-25.57
2024-03-13,Wednesday,2,09:20:00,22461.6,22400CE,89.65,91.8,4.3,4.4,False,,84.35,22400PE,95.25,504.05,92.3,459.4,True,2024-03-13 09:32:00,-20.0
2024-03-14,Thursday,1,09:20:00,22061.2,21950CE,70.7,279.65,70.15,196.45,True,2024-03-14 09:22:00,-14.85,21950PE,77.7,77.1,0.05,0.05,False,,76.87
2024-03-15,Friday,5,09:20:00,22153.4,22100CE,162.7,182.0,91.2,127.4,False,,33.67,22100PE,148.5,242.2,131.0,149.75,True,2024-03-15 09:37:00,-31.18
2024-03-18,Monday,4,09:20:00,22087.2,22050CE,128.8,188.0,91.3,126.1,True,2024-03-18 12:24:00,-27.05,22050PE,154.05,203.25,78.75,113.15,True,2024-03-18 09:34:00,-32.35
