Date,Day,DTE,EntryTime,Future,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Flag,PE.SL.Time,PE.PNL
2024-01-01,Monday,5,09:20:00,72043.13,72200CE,457.05,872.0,430.85,439.75,True,2024-01-01 09:54:00,-97.12,72200PE,490.0,493.0,226.6,409.0,False,,74.88
2024-01-02,Tuesday,4,09:20:00,72154.83,72300CE,377.4,419.0,190.0,203.15,False,,169.53,72300PE,419.4,843.85,378.7,602.6,True,2024-01-02 09:56:00,-89.12
2024-01-03,Wednesday,3,09:20:00,71699.57,71700CE,359.6,402.15,130.4,145.0,False,,210.1,71700PE,345.0,513.85,293.0,468.1,True,2024-01-03 09:39:00,-73.31
2024-01-04,Thursday,2,09:20:00,71672.15,71700CE,220.3,347.0,217.05,344.65,True,2024-01-04 09:30:00,-46.81,71700PE,253.2,254.15,48.0,50.2,False,,199.84
2024-01-05,Friday,1,09:20:00,72109.52,72100CE,112.2,125.0,0.1,0.1,False,,110.7,72100PE,100.85,280.5,55.1,74.75,True,2024-01-05 09:40:00,-21.43
2024-01-08,Monday,5,09:20:00,72045.77,72100CE,408.8,472.0,137.05,143.95,False,,259.74,72100PE,403.1,905.45,354.7,870.45,True,2024-01-08 09:40:00,-85.66
2024-01-09,Tuesday,4,09:20:00,71805.18,71900CE,322.35,480.0,127.7,174.5,True,2024-01-09 10:21:00,-68.5,71900PE,360.8,686.1,252.7,607.3,True,2024-01-09 09:37:00,-76.67
2024-01-10,Wednesday,3,09:20:00,71389.2,71400CE,336.05,590.0,230.5,522.2,True,2024-01-10 10:19:00,-71.41,71400PE,342.35,544.3,113.3,125.2,True,2024-01-10 09:27:00,-72.75
2024-01-11,Thursday,2,09:20:00,71952.33,72000CE,232.75,239.55,57.2,97.15,False,,132.69,72000PE,266.9,509.7,257.0,331.2,True,2024-01-11 09:42:00,-56.72
2024-01-12,Friday,1,09:20:00,72058.34,72000CE,126.1,638.15,94.0,565.9,True,2024-01-12 09:44:00,-26.8,72000PE,108.85,150.0,0.05,0.1,True,2024-01-12 09:24:00,-23.13
2024-01-15,Monday,5,09:20:00,73183.06,73200CE,520.55,590.0,376.0,559.8,False,,-45.76,73200PE,505.6,640.0,365.0,373.7,True,2024-01-15 09:55:00,-107.44
2024-01-16,Tuesday,4,09:20:00,73213.01,73200CE,440.9,551.0,278.4,344.6,True,2024-01-16 09:53:00,-93.69,73200PE,439.8,574.15,325.3,433.0,True,2024-01-16 13:33:00,-93.46
2024-01-17,Wednesday,3,09:20:00,72422.38,72500CE,406.0,412.85,88.85,103.15,False,,297.78,72500PE,436.2,1172.35,398.55,1103.75,True,2024-01-17 09:25:00,-92.69
2024-01-18,Thursday,2,09:20:00,71161.99,71100CE,389.0,560.0,175.65,387.95,True,2024-01-18 12:00:00,-82.66,71100PE,355.55,669.1,112.05,163.6,True,2024-01-18 09:33:00,-75.55
2024-01-19,Friday,1,09:20:00,71806.55,71900CE,152.7,178.0,0.05,0.05,False,,150.74,71900PE,184.25,400.0,131.4,217.2,True,2024-01-19 09:32:00,-39.15
2024-01-20,Saturday,4,09:20:00,71973.92,72000CE,508.55,510.85,239.1,290.0,False,,212.19,72000PE,472.25,799.95,461.35,674.8,True,2024-01-20 09:30:00,-100.35
2024-01-23,Tuesday,3,09:20:00,71979.47,72000CE,384.55,392.05,41.8,51.65,False,,328.09,72000PE,337.3,1892.65,327.8,1693.8,True,2024-01-23 09:57:00,-71.68
2024-01-24,Wednesday,2,09:20:00,70179.02,70200CE,354.05,1100.0,350.0,1055.0,True,2024-01-24 09:21:00,-75.24,70200PE,399.65,421.95,34.55,44.75,False,,349.9
2024-01-25,Thursday,1,09:20:00,70901.66,70900CE,229.9,275.3,0.3,0.4,False,,226.63,70900PE,193.2,667.55,159.3,235.5,True,2024-01-25 09:23:00,-41.05
2024-01-29,Monday,5,09:20:00,71156.14,71300CE,675.2,1216.5,655.2,1187.55,True,2024-01-29 09:28:00,-143.48,71300PE,704.45,707.35,351.35,364.2,False,,331.44
2024-01-30,Tuesday,4,09:20:00,72002.66,72100CE,736.6,748.65,276.9,312.85,False,,414.54,72100PE,690.0,1152.0,676.25,1081.7,True,2024-01-30 09:28:00,-146.62
2024-01-31,Wednesday,3,09:20:00,70939.88,71100CE,647.1,1130.55,600.75,1044.15,True,2024-01-31 09:34:00,-137.51,71100PE,654.0,704.25,253.8,323.25,False,,322.58
